business_id,name,address,city,state,postal_code,latitude,longitude,stars,review_count,is_open,attributes,categories,hours
ihMMMEO19h18rc-UWXgaTg,Hampton Inn,1375 W Grant Rd,Tucson,AZ,85745,32.24932,-110.994323,3.5,44,0,"{'GoodForKids': 'True', 'RestaurantsPriceRange2': '2', 'BusinessAcceptsCreditCards': 'True', 'WiFi': ""u'free'"", 'BikeParking': 'True', 'ByAppointmentOnly': 'False', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}""}","Event Planning & Services, Hotels & Travel, Venues & Event Spaces, Active Life, Swimming Pools, Hotels","{'Monday': '0:0-0:0', 'Tuesday': '0:0-0:0', 'Wednesday': '0:0-0:0', 'Thursday': '0:0-0:0', 'Friday': '0:0-0:0', 'Saturday': '0:0-0:0', 'Sunday': '0:0-0:0'}"
05qjaaj-IZnfWA3Jwf1aBw,Residence Inn by Marriott Philadelphia Montgomeryville,1110 Bethlehem Pike,North Wales,PA,19454,40.2104726979,-75.226772815,3.0,27,1,"{'RestaurantsPriceRange2': '2', 'BusinessAcceptsCreditCards': 'True', 'WiFi': ""u'free'""}","Event Planning & Services, Hotels & Travel, Hotels","{'Monday': '0:0-0:0', 'Tuesday': '0:0-0:0', 'Wednesday': '0:0-0:0', 'Thursday': '0:0-0:0', 'Friday': '0:0-0:0', 'Saturday': '0:0-0:0', 'Sunday': '0:0-0:0'}"
CanwhWbh7x7uxTieaw4VGw,Courtyard by Marriott Philadelphia Lansdale,1737 Sumneytown Pike,Lansdale,PA,19446,40.246175993,-75.3405060053,3.5,24,1,"{'BusinessAcceptsBitcoin': 'False', 'RestaurantsPriceRange2': '2', 'DogsAllowed': 'False', 'WheelchairAccessible': 'True', 'BusinessAcceptsCreditCards': 'True', 'WiFi': ""u'free'""}","Hotels, Event Planning & Services, Hotels & Travel, Venues & Event Spaces","{'Monday': '0:0-0:0', 'Tuesday': '0:0-0:0', 'Wednesday': '0:0-0:0', 'Thursday': '0:0-0:0', 'Friday': '0:0-0:0', 'Saturday': '0:0-0:0', 'Sunday': '0:0-0:0'}"
-1ueCbvIpUPi8KT95ETTKw,Hyatt Place Reno-Tahoe Airport,1790 E Plumb Ln,Reno,NV,89502,39.5044214,-119.7795893,4.0,167,1,"{'RestaurantsPriceRange2': '2', 'WiFi': ""u'free'"", 'BusinessAcceptsCreditCards': 'True'}","Hotels, Hotels & Travel, Event Planning & Services, Venues & Event Spaces","{'Monday': '0:0-0:0', 'Tuesday': '0:0-0:0', 'Wednesday': '0:0-0:0', 'Thursday': '0:0-0:0', 'Friday': '0:0-0:0', 'Saturday': '0:0-0:0', 'Sunday': '0:0-0:0'}"
9oQ0ePOsQffsKeRZEQ0cPQ,Quality Inn Airport,2803 E Valencia Rd,Tucson,AZ,85706,32.1345259,-110.9295651,2.0,31,1,"{'RestaurantsPriceRange2': '2', 'BusinessAcceptsCreditCards': 'True', 'WiFi': ""'free'""}","Hotels & Travel, Event Planning & Services, Hotels","{'Monday': '0:0-0:0', 'Tuesday': '0:0-0:0', 'Wednesday': '0:0-0:0', 'Thursday': '0:0-0:0', 'Friday': '0:0-0:0', 'Saturday': '0:0-0:0', 'Sunday': '0:0-0:0'}"
4sH06vFAxbmp1HkSUsmJWg,Travelodge by Wyndham Tucson AZ,1000 South Freeway,Tucson,AZ,85745,32.2093519,-110.9807012,1.5,15,1,"{'WiFi': ""u'free'"", 'RestaurantsPriceRange2': '1', 'BusinessAcceptsCreditCards': 'True'}","Hotels & Travel, Event Planning & Services, Hotels",
2mr3iGBh3cGDKA83uaKXqw,Hampton Inn & Suites Reno/Sparks,200 Legends Bay Dr,Sparks,NV,89434,39.5327697,-119.723835,3.0,47,1,"{'WiFi': ""'free'"", 'BusinessAcceptsCreditCards': 'True', 'RestaurantsPriceRange2': '2'}","Event Planning & Services, Hotels, Hotels & Travel","{'Monday': '0:0-0:0', 'Tuesday': '0:0-0:0', 'Wednesday': '0:0-0:0', 'Thursday': '0:0-0:0', 'Friday': '0:0-0:0', 'Saturday': '0:0-0:0', 'Sunday': '0:0-0:0'}"
IZ4sAK-nBEOErmSdEFquhA,Quality Inn & Suites,3671 St Rd,Bensalem,PA,19020,40.125507,-74.964766,1.5,32,1,"{'RestaurantsPriceRange2': '1', 'ByAppointmentOnly': 'False', 'BusinessAcceptsCreditCards': 'True', 'WiFi': ""'free'""}","Hotels, Event Planning & Services, Hotels & Travel","{'Monday': '0:0-0:0', 'Tuesday': '0:0-0:0', 'Wednesday': '0:0-0:0', 'Thursday': '0:0-0:0', 'Friday': '0:0-0:0', 'Saturday': '0:0-0:0', 'Sunday': '0:0-0:0'}"
EF57en2jZd9e0m3E-TKV6Q,Hampton Inn Philadelphia/Willow Grove,1500 Easton Rd,Willow Grove,PA,19090,40.1594370307,-75.1244097948,2.5,57,1,"{'RestaurantsPriceRange2': '2', 'WiFi': ""u'free'"", 'BusinessAcceptsCreditCards': 'True'}","Hotels & Travel, Hotels, Event Planning & Services","{'Monday': '0:0-0:0', 'Tuesday': '0:0-0:0', 'Wednesday': '0:0-0:0', 'Thursday': '0:0-0:0', 'Friday': '0:0-0:0', 'Saturday': '0:0-0:0', 'Sunday': '0:0-0:0'}"
TsurJeR6kxaZ3N4Enr8dOg,Fairfield Inn by Marriott,4850 S Hotel Dr,Tucson,AZ,85714,32.163799,-110.915081,1.5,10,0,"{'RestaurantsPriceRange2': '2', 'WiFi': ""u'free'"", 'BusinessAcceptsCreditCards': 'True'}","Event Planning & Services, Hotels, Hotels & Travel",
uRST5ZEdNkLoBZROwbGxSw,La Quinta Inn by Wyndham Reno,4001 Market St,Reno,NV,89502,39.510189,-119.782025,2.5,187,1,"{'RestaurantsPriceRange2': '2', 'BusinessAcceptsCreditCards': 'True', 'WiFi': ""u'free'"", 'DogsAllowed': 'True'}","Event Planning & Services, Hotels, Hotels & Travel","{'Monday': '0:0-0:0', 'Tuesday': '0:0-0:0', 'Wednesday': '0:0-0:0', 'Thursday': '0:0-0:0', 'Friday': '0:0-0:0', 'Saturday': '0:0-0:0', 'Sunday': '0:0-0:0'}"
4mnF_ZNdUY4NHjXguMY56Q,Quality Inn,4 South New Middletown Rd,Media,PA,19063,39.9138530431,-75.4252344024,1.5,35,0,"{'BusinessAcceptsCreditCards': 'True', 'RestaurantsPriceRange2': '2', 'WiFi': ""'free'""}","Hotels, Event Planning & Services, Hotels & Travel","{'Monday': '0:0-0:0', 'Tuesday': '0:0-0:0', 'Wednesday': '0:0-0:0', 'Thursday': '0:0-0:0', 'Friday': '0:0-0:0', 'Saturday': '0:0-0:0', 'Sunday': '0:0-0:0'}"
lLU37zhx2k9YGPzV30cNnA,Wyndham Garden Hotel Philadelphia Airport,45 Industrial Highway,Essington,PA,19029,39.86753,-75.303769,2.0,146,1,"{'BusinessAcceptsCreditCards': 'True', 'RestaurantsPriceRange2': '2', 'WiFi': ""u'free'""}","Event Planning & Services, Hotels & Travel, Hotels","{'Monday': '0:0-0:0', 'Tuesday': '0:0-0:0', 'Wednesday': '0:0-0:0', 'Thursday': '0:0-0:0', 'Friday': '0:0-0:0', 'Saturday': '0:0-0:0', 'Sunday': '0:0-0:0'}"
CFlW9bfl4N63fZpQsZIkRQ,"The Logan Philadelphia, Curio Collection by Hilton",1 Logan Sq,Philadelphia,PA,19103,39.9569323,-75.1702705,3.5,211,1,"{'RestaurantsPriceRange2': '3', 'WiFi': ""u'free'"", 'BusinessAcceptsCreditCards': 'True'}","Hotels, Event Planning & Services, Nightlife, Hotels & Travel, Bars, Venues & Event Spaces","{'Monday': '0:0-0:0', 'Tuesday': '0:0-0:0', 'Wednesday': '0:0-0:0', 'Thursday': '0:0-0:0', 'Friday': '0:0-0:0', 'Saturday': '0:0-0:0', 'Sunday': '0:0-0:0'}"
xNF3z5wfggO8mqQQrsemyA,Home2 Suites by Hilton Tucson Airport,6555 S Bay Colony Dr,Tucson,AZ,85756,32.1331367,-110.9297256,2.5,8,1,,"Hotels, Event Planning & Services, Hotels & Travel","{'Monday': '0:0-0:0', 'Tuesday': '0:0-0:0', 'Wednesday': '0:0-0:0', 'Thursday': '0:0-0:0', 'Friday': '0:0-0:0', 'Saturday': '0:0-0:0', 'Sunday': '0:0-0:0'}"
BvGVVQrmZdlaPoWPxI5MYg,Hyatt Place Tucson-Central,1375 W Grant Rd,Tucson,AZ,85745,32.2495062369,-110.9945752144,3.0,14,1,,"Event Planning & Services, Hotels & Travel, Hotels",
9PXJkRLVWd6IMPfBzdJp2Q,"El Conquistador Tucson, A Hilton Resort",10000 N Oracle Rd,Tucson,AZ,85704,32.386118,-110.9566609085,3.0,269,1,"{'RestaurantsAttire': ""'casual'"", 'NoiseLevel': ""'average'"", 'RestaurantsTakeOut': 'False', 'RestaurantsDelivery': 'False', 'Alcohol': ""u'full_bar'"", 'RestaurantsGoodForGroups': 'True', 'HasTV': 'True', 'BusinessAcceptsCreditCards': 'True', 'OutdoorSeating': 'True', 'BikeParking': 'True', 'GoodForKids': 'True', 'Ambience': ""{'romantic': True, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}"", 'BusinessAcceptsBitcoin': 'False', 'DogsAllowed': 'True', 'Caters': 'True', 'RestaurantsPriceRange2': '4', 'RestaurantsReservations': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': True}"", 'ByAppointmentOnly': 'True', 'WiFi': ""u'free'"", 'WheelchairAccessible': 'True', 'GoodForMeal': ""{'dessert': True, 'latenight': False, 'lunch': True, 'dinner': True, 'brunch': True, 'breakfast': True}""}","American (New), Fitness & Instruction, Resorts, Day Spas, Hotels, Restaurants, Steakhouses, Hotels & Travel, Active Life, Golf, Event Planning & Services, Tennis, Beauty & Spas, Horseback Riding","{'Monday': '0:0-0:0', 'Tuesday': '0:0-0:0', 'Wednesday': '0:0-0:0', 'Thursday': '0:0-0:0', 'Friday': '0:0-0:0', 'Saturday': '0:0-0:0', 'Sunday': '0:0-0:0'}"
qZt7AUctJ-CLG7PCJ3NT9A,Homewood Suites by Hilton Philadelphia-Great Valley,12 E Swedesford Rd,Malvern,PA,19355,40.0527090174,-75.5247241259,2.0,8,1,"{'BusinessAcceptsCreditCards': 'True', 'RestaurantsPriceRange2': '2'}","Hotels & Travel, Event Planning & Services, Hotels","{'Monday': '0:0-0:0', 'Tuesday': '0:0-0:0', 'Wednesday': '0:0-0:0', 'Thursday': '0:0-0:0', 'Friday': '0:0-0:0', 'Saturday': '0:0-0:0', 'Sunday': '0:0-0:0'}"
80oF0k9Vx3gBhMOmRMsrCA,Radisson Inn Tucson Airport,4550 S Palo Verde Rd,Tucson,AZ,85714,32.1693185414,-110.918396875,1.5,10,0,{'BusinessAcceptsCreditCards': 'True'},"Hotels, Hotels & Travel, Event Planning & Services",
wIRrMytWVZXBB6Lp9_MZIg,Hilton Garden Inn Philadelphia/Ft. Washington,530 W Pennsylvania Ave,Fort Washington,PA,19034,40.1323895533,-75.2045568824,3.5,51,1,"{'RestaurantsPriceRange2': '2', 'WiFi': ""u'free'"", 'BusinessAcceptsCreditCards': 'True'}","Hotels, Event Planning & Services, Hotels & Travel","{'Monday': '0:0-0:0', 'Tuesday': '0:0-0:0', 'Wednesday': '0:0-0:0', 'Thursday': '0:0-0:0', 'Friday': '0:0-0:0', 'Saturday': '0:0-0:0', 'Sunday': '0:0-0:0'}"
1dJrfsOJncIvTHF7Jckf0Q,Best Western Plus Philadelphia Bensalem Hotel,3499 Street Rd,Bensalem,PA,19020,40.1254999,-74.9620663,2.5,42,1,"{'RestaurantsPriceRange2': '2', 'WiFi': ""u'free'"", 'BusinessAcceptsCreditCards': 'True'}","Event Planning & Services, Hotels & Travel, Hotels","{'Monday': '0:0-0:0', 'Tuesday': '0:0-0:0', 'Wednesday': '0:0-0:0', 'Thursday': '0:0-0:0', 'Friday': '0:0-0:0', 'Saturday': '0:0-0:0', 'Sunday': '0:0-0:0'}"
dX6vforkmX1pNCSgzyVS2w,Courtyard Philadelphia Langhorne,5 Cabot Blvd E,Langhorne,PA,19047,40.1906475636,-74.8629319668,3.5,52,1,"{'RestaurantsPriceRange2': '2', 'WiFi': ""u'free'"", 'BusinessAcceptsCreditCards': 'True'}","Hotels, Event Planning & Services, Hotels & Travel","{'Monday': '0:0-0:0', 'Tuesday': '0:0-0:0', 'Wednesday': '0:0-0:0', 'Thursday': '0:0-0:0', 'Friday': '0:0-0:0', 'Saturday': '0:0-0:0', 'Sunday': '0:0-0:0'}"
IJGgePeJ32YDf-h5IwGf3A,Hampton Inn & Suites Reno West,900 Ambassador Dr,Reno,NV,89523,39.5171115,-119.8881993,4.0,70,1,"{'RestaurantsPriceRange2': '2', 'WiFi': ""'free'"", 'BusinessAcceptsCreditCards': 'True'}","Event Planning & Services, Hotels, Hotels & Travel","{'Monday': '0:0-0:0', 'Tuesday': '0:0-0:0', 'Wednesday': '0:0-0:0', 'Thursday': '0:0-0:0', 'Friday': '0:0-0:0', 'Saturday': '0:0-0:0', 'Sunday': '0:0-0:0'}"
4ojRyf5RfZArkkE9U9bfNw,Hilton Philadelphia Airport,4509 Island Ave,Philadelphia,PA,19153,39.8888335,-75.2321604,2.5,56,0,"{'BusinessAcceptsCreditCards': 'True', 'WiFi': ""u'free'"", 'RestaurantsPriceRange2': '2'}","Hotels, Hotels & Travel, Event Planning & Services",
GIFERe9jqQzhv2GztCffNg,Residence Inn by Marriott Philadelphia Valley Forge/Collegeville,500 Campus Drive,Collegeville,PA,19426,40.159486,-75.473334,4.0,15,1,"{'BusinessAcceptsCreditCards': 'True', 'DogsAllowed': 'True', 'RestaurantsPriceRange2': '2', 'BusinessAcceptsBitcoin': 'False', 'WiFi': ""u'paid'"", 'WheelchairAccessible': 'True'}","Event Planning & Services, Hotels, Hotels & Travel, Venues & Event Spaces","{'Monday': '0:0-0:0', 'Tuesday': '0:0-0:0', 'Wednesday': '0:0-0:0', 'Thursday': '0:0-0:0', 'Friday': '0:0-0:0', 'Saturday': '0:0-0:0', 'Sunday': '0:0-0:0'}"
KflHa9pRDLPAmXxCpBDCZg,DoubleTree Suites by Hilton Hotel Tucson Airport,7051 S Tucson Blvd,Tucson,AZ,85756,32.12369012,-110.9335228801,2.5,104,1,"{'BusinessAcceptsCreditCards': 'True', 'RestaurantsPriceRange2': '2', 'WiFi': ""'free'""}","Hotels, Event Planning & Services, Hotels & Travel","{'Monday': '0:0-0:0', 'Tuesday': '0:0-0:0', 'Wednesday': '0:0-0:0', 'Thursday': '0:0-0:0', 'Friday': '0:0-0:0', 'Saturday': '0:0-0:0', 'Sunday': '0:0-0:0'}"
GuAKBwAtfHIjIRATXNcjFQ,Residence Inn by Marriott Philadelphia Valley Forge,600 W Swedesford Rd,Berwyn,PA,19312,40.0670782064,-75.4516634345,3.0,18,1,"{'RestaurantsPriceRange2': '2', 'BusinessAcceptsCreditCards': 'True', 'BusinessAcceptsBitcoin': 'False', 'DogsAllowed': 'True', 'WiFi': ""u'free'""}","Event Planning & Services, Hotels & Travel, Hotels","{'Monday': '0:0-0:0', 'Tuesday': '0:0-0:0', 'Wednesday': '0:0-0:0', 'Thursday': '0:0-0:0', 'Friday': '0:0-0:0', 'Saturday': '0:0-0:0', 'Sunday': '0:0-0:0'}"
Dk0Yw7R8gCnkW78-n_Gv0A,Courtyard by Marriott Philadelphia Springfield,400 W Sproul Rd,Springfield,PA,19064,39.9260217652,-75.3512493315,3.0,22,1,"{'RestaurantsPriceRange2': '2', 'WiFi': ""u'free'"", 'BusinessAcceptsCreditCards': 'True'}","Hotels, Event Planning & Services, Hotels & Travel","{'Monday': '0:0-0:0', 'Tuesday': '0:0-0:0', 'Wednesday': '0:0-0:0', 'Thursday': '0:0-0:0', 'Friday': '0:0-0:0', 'Saturday': '0:0-0:0', 'Sunday': '0:0-0:0'}"
wDaZZM-R-DvhoWR8y8q0mg,Hampton Inn Philadelphia-International Airport,8600 Bartram Ave,Philadelphia,PA,19153,39.8882535601,-75.2463403344,3.0,79,1,"{'WiFi': ""u'free'"", 'BusinessAcceptsCreditCards': 'True', 'RestaurantsPriceRange2': '2'}","Event Planning & Services, Hotels & Travel, Hotels","{'Monday': '0:0-0:0', 'Tuesday': '0:0-0:0', 'Wednesday': '0:0-0:0', 'Thursday': '0:0-0:0', 'Friday': '0:0-0:0', 'Saturday': '0:0-0:0', 'Sunday': '0:0-0:0'}"
rOQ6I3QglJeXev8Wsx9hkw,Hyatt Regency Philadelphia,"Penn's Landing, 201 S Columbus Blvd",Philadelphia,PA,19106,39.9453341,-75.1414441,3.5,122,0,"{'RestaurantsPriceRange2': '3', 'BusinessAcceptsCreditCards': 'True', 'WiFi': ""u'paid'""}","Hotels & Travel, Event Planning & Services, Hotels","{'Monday': '6:0-6:0', 'Tuesday': '6:0-6:0', 'Wednesday': '6:0-6:0', 'Thursday': '6:0-6:0', 'Friday': '6:0-6:0', 'Saturday': '6:0-6:0', 'Sunday': '6:0-6:0'}"
8VVmwbwaWBw3tVax4fKyCQ,Hampton Inn & Suites Tucson East/Williams Center,251 S Wilmot Rd,Tucson,AZ,85711,32.2182787,-110.8574774,3.0,42,1,"{'BusinessAcceptsCreditCards': 'True', 'WiFi': ""u'free'"", 'RestaurantsPriceRange2': '2'}","Hotels, Event Planning & Services, Hotels & Travel","{'Monday': '0:0-0:0', 'Tuesday': '0:0-0:0', 'Wednesday': '0:0-0:0', 'Thursday': '0:0-0:0', 'Friday': '0:0-0:0', 'Saturday': '0:0-0:0', 'Sunday': '0:0-0:0'}"
NnxdLoboouOYO5-Vk7Wx1w,Quality Inn Pottstown,61 West King St,Pottstown,PA,19464,40.249649,-75.6594085,2.5,16,1,"{'WiFi': ""u'free'"", 'RestaurantsPriceRange2': '2', 'BusinessAcceptsCreditCards': 'True'}","Event Planning & Services, Hotels & Travel, Hotels","{'Monday': '0:0-0:0', 'Tuesday': '0:0-0:0', 'Wednesday': '0:0-0:0', 'Thursday': '0:0-0:0', 'Friday': '0:0-0:0', 'Saturday': '0:0-0:0', 'Sunday': '0:0-0:0'}"
Rs1dU1ngFT_H1jjme_zBQw,Fairfield Inn & Suites Reno Sparks,2085 Brierley Way,Sparks,NV,89434,39.5274201614,-119.7024899769,3.5,50,1,"{'RestaurantsPriceRange2': '2', 'WiFi': ""u'free'"", 'BusinessAcceptsCreditCards': 'True', 'BusinessAcceptsBitcoin': 'False'}","Event Planning & Services, Hotels & Travel, Hotels","{'Monday': '0:0-0:0', 'Tuesday': '0:0-0:0', 'Wednesday': '0:0-0:0', 'Thursday': '0:0-0:0', 'Friday': '0:0-0:0', 'Saturday': '0:0-0:0', 'Sunday': '0:0-0:0'}"
sjJ1RWbPghvYZP8ozo1ltg,Best Western Tucson Int'l Airport Hotel & Suites,6801 S Tucson Blvd,Tucson,AZ,85756,32.1279742,-110.9335029,3.0,63,1,"{'WiFi': ""u'free'"", 'RestaurantsPriceRange2': '2', 'BusinessAcceptsCreditCards': 'True'}","Hotels, Event Planning & Services, Airports, Hotels & Travel","{'Monday': '0:0-0:0', 'Tuesday': '0:0-0:0', 'Wednesday': '0:0-0:0', 'Thursday': '0:0-0:0', 'Friday': '0:0-0:0', 'Saturday': '0:0-0:0', 'Sunday': '0:0-0:0'}"
_AVG0GvrMfBRK5jyuwSwrg,Motto By Hilton Philadelphia Rittenhouse Square,31 S 19th St,Philadelphia,PA,19103,39.9525065,-75.1717068,4.0,32,1,"{'WiFi': ""u'free'"", 'BusinessAcceptsCreditCards': 'True'}","Hotels & Travel, Event Planning & Services, Hotels","{'Monday': '0:0-0:0', 'Tuesday': '0:0-0:0', 'Wednesday': '0:0-0:0', 'Thursday': '0:0-0:0', 'Friday': '0:0-0:0', 'Saturday': '0:0-0:0', 'Sunday': '0:0-0:0'}"
jhR6MRbFRWQ6e3JQljYluA,Extended Stay America - Philadelphia - Malvern - Great Valley,"300 Moorehall Rd, Rt 29",Malvern,PA,19355,40.0574457361,-75.5299969197,1.5,17,1,"{'WiFi': ""u'free'"", 'RestaurantsPriceRange2': '1', 'BusinessAcceptsCreditCards': 'True'}","Hotels & Travel, Event Planning & Services, Hotels","{'Monday': '0:0-0:0', 'Tuesday': '0:0-0:0', 'Wednesday': '0:0-0:0', 'Thursday': '0:0-0:0', 'Friday': '0:0-0:0', 'Saturday': '0:0-0:0', 'Sunday': '0:0-0:0'}"
Jw-ENQw-OGGwpM3nA3ywqw,Best Western Plus Philadelphia Airport South,1450 Providence Ave,Chester,PA,19013,39.8600105,-75.3603015,3.0,51,1,"{'BusinessAcceptsCreditCards': 'True', 'WiFi': ""u'free'"", 'RestaurantsPriceRange2': '2'}","Hotels, Event Planning & Services, Hotels & Travel","{'Monday': '0:0-0:0', 'Tuesday': '0:0-0:0', 'Wednesday': '0:0-0:0', 'Thursday': '0:0-0:0', 'Friday': '0:0-0:0', 'Saturday': '0:0-0:0', 'Sunday': '0:0-0:0'}"
jDds2solrdvoyK7sB97Eog,Fairfield Inn & Suites Philadelphia Downtown/Center City,261 South 13th Street,Philadelphia,PA,19107,39.9468905,-75.1623589,3.5,20,1,"{'BusinessAcceptsBitcoin': 'False', 'WheelchairAccessible': 'True', 'ByAppointmentOnly': 'False', 'WiFi': ""u'free'"", 'DogsAllowed': 'False', 'BusinessAcceptsCreditCards': 'True'}","Hotels & Travel, Venues & Event Spaces, Hotels, Event Planning & Services","{'Monday': '0:0-0:0', 'Tuesday': '0:0-0:0', 'Wednesday': '0:0-0:0', 'Thursday': '0:0-0:0', 'Friday': '0:0-0:0', 'Saturday': '0:0-0:0', 'Sunday': '0:0-0:0'}"
